time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max
2000-01-01,-0.4,5.6,-6.3,-4.6,1.3,56,0.0,0.0,0.0,0.0,3.77,9.7
2000-01-02,-0.3,5.5,-5.1,-4.8,0.9,33,0.0,0.0,0.0,0.0,3.45,8.8
2000-01-03,-1.0,6.5,-6.7,-5.0,2.8,48,0.0,0.0,0.0,0.0,2.55,4.9
2000-01-04,-1.3,4.6,-5.6,-5.2,1.2,61,0.0,0.0,0.0,0.0,2.56,4.6
2000-01-05,-1.6,2.0,-4.7,-5.7,-1.8,59,0.4,0.0,0.77,2.0,3.81,8.9
2000-01-06,-7.1,-4.7,-11.4,-12.9,-10.0,27,0.0,0.0,0.0,0.0,6.71,14.6
2000-01-07,-7.5,-2.3,-11.9,-11.9,-7.2,32,0.0,0.0,0.0,0.0,2.47,6.3
2000-01-08,-4.5,1.9,-11.2,-8.6,-2.3,49,0.0,0.0,0.0,0.0,1.9,5.6
2000-01-09,-0.1,7.0,-6.1,-4.0,3.1,48,0.0,0.0,0.0,0.0,2.31,6.8
2000-01-10,-1.7,4.1,-6.5,-6.1,-0.5,60,3.5,0.0,2.45,5.0,3.6,7.8
2000-01-11,-3.4,-2.2,-5.2,-7.2,-5.2,82,4.7,0.0,3.57,13.0,2.92,6.2
2000-01-12,-3.3,1.3,-8.6,-7.5,-3.2,66,0.0,0.0,0.0,0.0,3.4,8.2
2000-01-13,-6.9,-1.6,-12.2,-11.0,-5.8,62,0.0,0.0,0.0,0.0,1.58,4.1
2000-01-14,-4.9,0.6,-10.1,-8.8,-3.4,63,0.0,0.0,0.0,0.0,2.0,4.4
2000-01-15,-3.1,1.5,-6.3,-6.7,-1.9,69,0.0,0.0,0.07,0.0,1.71,4.3
2000-01-16,-4.3,-0.1,-7.8,-8.2,-3.8,74,0.0,0.0,0.0,0.0,2.02,5.0
2000-01-17,-5.0,1.5,-11.5,-9.5,-3.0,53,0.0,0.0,0.0,0.0,2.8,6.9
2000-01-18,-6.6,-0.3,-11.5,-12.0,-6.0,48,0.0,0.0,0.0,0.0,6.65,13.9
2000-01-19,-8.3,-1.9,-14.2,-13.2,-7.1,38,0.0,0.0,0.0,0.0,3.08,8.3
2000-01-20,-8.3,-1.1,-15.5,-12.9,-5.7,39,0.0,0.0,0.0,0.0,2.42,5.0
2000-01-21,-7.0,-3.9,-10.3,-11.2,-8.3,68,3.4,0.0,2.66,12.0,3.01,7.2
2000-01-22,-3.9,1.2,-7.9,-7.6,-2.6,71,0.0,0.0,0.0,0.0,1.97,5.6
2000-01-23,-5.8,0.1,-11.2,-10.1,-3.9,66,0.0,0.0,0.0,0.0,2.64,5.1
2000-01-24,-7.0,-3.8,-9.9,-11.7,-8.3,59,0.0,0.0,0.0,0.0,3.04,7.4
2000-01-25,-8.1,-3.1,-13.7,-13.1,-8.2,43,0.0,0.0,0.0,0.0,2.92,6.8
2000-01-26,-9.1,-2.4,-17.0,-13.9,-7.3,40,0.0,0.0,0.0,0.0,2.47,6.5
2000-01-27,-8.5,-2.2,-15.9,-12.8,-6.3,50,0.0,0.0,0.0,0.0,2.02,5.1
2000-01-28,-6.5,0.1,-13.9,-10.7,-4.1,52,0.0,0.0,0.0,0.0,2.56,5.5
2000-01-29,-8.1,-2.8,-13.5,-13.5,-8.4,42,0.0,0.0,0.0,0.0,5.87,12.7
2000-01-30,-10.3,-4.5,-16.8,-15.4,-9.9,43,0.0,0.0,0.0,0.0,4.48,10.4
2000-01-31,-11.2,-6.5,-17.1,-15.9,-11.0,47,0.0,0.0,0.0,0.0,2.41,5.0
2000-02-01,-9.3,-2.1,-16.2,-13.7,-6.4,48,0.0,0.0,0.0,0.0,1.82,6.1
2000-02-02,-6.7,-0.4,-12.6,-11.0,-5.0,50,0.0,0.0,0.0,0.0,2.06,5.9
2000-02-03,-7.7,-1.3,-16.0,-12.2,-4.8,41,0.0,0.0,0.0,0.0,2.0,4.8
2000-02-04,-5.2,1.1,-11.6,-9.7,-3.3,39,0.0,0.0,0.14,0.0,2.44,6.2
2000-02-05,-1.1,4.7,-6.2,-5.5,-0.1,58,0.0,0.0,0.28,0.0,4.66,10.7
2000-02-06,-1.3,5.9,-7.2,-5.7,0.9,52,0.6,0.0,0.42,3.0,4.44,10.4
2000-02-07,-3.6,1.2,-8.8,-9.1,-4.6,36,0.0,0.0,0.0,0.0,5.39,11.9
2000-02-08,-2.8,3.5,-9.6,-7.0,0.3,40,0.0,0.0,0.0,0.0,1.9,5.5
2000-02-09,-1.2,4.9,-6.8,-5.2,1.1,47,0.0,0.0,0.0,0.0,2.57,6.4
2000-02-10,1.5,9.1,-4.2,-2.6,5.1,48,0.0,0.0,0.0,0.0,3.08,7.8
2000-02-11,1.5,8.1,-5.9,-2.4,4.7,40,0.0,0.0,0.0,0.0,1.7,5.3
2000-02-12,4.3,10.7,-1.4,0.7,7.3,44,0.0,0.0,0.0,0.0,2.5,6.0
2000-02-13,3.0,6.9,-2.4,-1.6,1.5,40,0.0,0.0,0.0,0.0,5.32,11.6
2000-02-14,-1.1,3.4,-5.4,-6.6,-3.3,32,0.0,0.0,0.0,0.0,6.93,14.3
2000-02-15,-1.9,3.5,-7.5,-6.7,-1.4,28,0.0,0.0,0.0,0.0,3.8,9.4
2000-02-16,-0.2,6.9,-6.8,-4.5,2.9,33,0.0,0.0,0.0,0.0,2.55,6.3
2000-02-17,1.0,8.1,-6.1,-3.1,4.7,39,0.0,0.0,0.0,0.0,2.82,5.5
2000-02-18,0.6,2.5,-1.7,-3.0,-0.6,68,2.9,0.2,1.96,10.0,2.14,5.3
2000-02-19,1.8,5.3,-1.4,-1.4,1.7,75,0.5,0.2,0.56,3.0,2.78,6.8
2000-02-20,0.9,6.4,-4.2,-2.8,3.4,48,0.0,0.0,0.0,0.0,2.38,4.8
2000-02-21,0.9,6.8,-4.9,-3.1,3.5,45,0.0,0.0,0.0,0.0,2.57,6.5
2000-02-22,2.0,8.5,-2.9,-1.3,5.2,62,0.0,0.0,0.0,0.0,2.33,6.3
2000-02-23,2.7,9.2,-3.8,-1.2,6.1,52,0.0,0.0,0.0,0.0,2.84,7.8
2000-02-24,2.3,6.2,-1.4,-1.8,2.6,38,0.0,0.0,0.0,0.0,2.56,7.1
2000-02-25,0.6,3.5,-3.1,-5.3,-3.2,39,0.2,0.0,0.28,2.0,8.56,18.2
2000-02-26,1.6,8.2,-4.9,-3.2,3.6,34,0.0,0.0,0.0,0.0,4.0,9.5
2000-02-27,3.1,11.2,-3.5,-1.1,7.7,29,0.0,0.0,0.0,0.0,2.4,6.3
2000-02-28,1.7,7.7,-4.0,-2.7,4.1,43,0.0,0.0,0.0,0.0,3.78,8.3
2000-02-29,3.8,10.3,-2.8,-0.3,6.2,50,0.2,0.2,0.0,1.0,4.21,9.5
2000-03-01,5.3,12.1,-0.7,1.5,8.3,52,0.1,0.1,0.0,1.0,4.25,9.6
2000-03-02,6.4,13.7,0.0,2.8,10.0,55,0.0,0.0,0.0,0.0,3.13,7.7
2000-03-03,5.9,12.9,-1.6,1.7,9.5,35,0.0,0.0,0.0,0.0,2.97,7.6
2000-03-04,4.5,9.8,-1.5,0.1,6.1,34,0.0,0.0,0.0,0.0,3.45,7.8
2000-03-05,5.5,11.8,0.5,0.8,6.6,34,0.0,0.0,0.0,0.0,6.26,13.1
2000-03-06,3.4,9.0,-3.4,-0.9,6.0,27,0.0,0.0,0.0,0.0,2.69,6.3
2000-03-07,3.4,11.6,-2.6,-1.3,7.8,27,0.0,0.0,0.0,0.0,5.74,12.0
2000-03-08,2.8,10.3,-4.6,-1.2,7.7,26,0.0,0.0,0.0,0.0,2.15,5.1
2000-03-09,3.9,12.0,-4.3,-0.2,8.1,33,0.0,0.0,0.0,0.0,2.68,6.4
2000-03-10,5.8,12.5,-1.4,2.1,9.4,44,0.1,0.1,0.0,1.0,3.64,8.2
2000-03-11,7.1,13.5,0.8,4.3,12.1,54,0.3,0.3,0.0,2.0,2.02,7.2
2000-03-12,5.6,12.9,-2.8,2.2,10.3,54,0.9,0.8,0.07,3.0,3.54,8.6
2000-03-13,7.4,12.9,2.1,4.9,10.6,68,5.9,4.1,1.26,11.0,3.42,5.6
2000-03-14,7.7,12.6,2.4,4.3,8.1,66,0.7,0.7,0.0,4.0,5.77,12.1
2000-03-15,7.1,12.5,1.3,3.4,8.1,51,1.7,1.7,0.0,4.0,5.45,12.4
2000-03-16,5.9,13.3,-1.0,1.9,9.5,33,0.0,0.0,0.0,0.0,4.84,11.4
2000-03-17,7.9,16.6,-0.1,3.9,12.3,31,0.0,0.0,0.0,0.0,4.52,11.0
2000-03-18,8.0,15.9,0.7,3.5,11.9,30,0.0,0.0,0.0,0.0,4.7,10.5
2000-03-19,6.9,13.4,-2.3,2.7,9.4,34,0.0,0.0,0.0,0.0,4.2,9.1
2000-03-20,8.7,14.8,4.5,5.2,11.0,45,0.6,0.0,0.42,4.0,4.38,10.4
2000-03-21,8.1,13.7,2.8,4.7,10.2,60,0.0,0.0,0.0,0.0,4.85,10.4
2000-03-22,4.8,8.0,1.3,0.9,3.8,55,0.6,0.6,0.0,3.0,5.3,11.6
2000-03-23,4.6,10.1,-3.0,-1.0,3.3,22,0.0,0.0,0.0,0.0,7.74,16.5
2000-03-24,6.1,13.9,-2.9,1.7,9.8,27,0.0,0.0,0.0,0.0,4.61,10.6
2000-03-25,8.1,16.2,0.8,3.6,12.0,28,0.0,0.0,0.0,0.0,5.92,12.9
2000-03-26,10.3,18.8,0.1,5.4,13.4,24,0.0,0.0,0.0,0.0,6.4,13.8
2000-03-27,10.5,14.1,3.1,4.5,7.1,22,0.0,0.0,0.0,0.0,9.99,22.1
2000-03-28,8.7,15.6,-0.7,3.8,11.0,23,0.0,0.0,0.0,0.0,5.68,12.5
2000-03-29,10.6,20.5,-0.7,6.9,16.7,33,0.0,0.0,0.0,0.0,3.64,10.0
2000-03-30,15.9,25.7,6.8,12.7,23.2,32,0.0,0.0,0.0,0.0,3.31,7.9
2000-03-31,14.4,19.7,6.2,10.7,16.1,35,0.0,0.0,0.0,0.0,4.02,9.1
2000-04-01,11.1,13.4,6.8,7.9,9.6,62,0.9,0.9,0.0,6.0,5.29,11.3
2000-04-02,12.4,19.8,2.2,10.4,19.1,55,0.0,0.0,0.0,0.0,2.89,7.3
2000-04-03,14.1,22.0,5.1,10.5,18.4,36,0.0,0.0,0.0,0.0,5.13,11.5
2000-04-04,11.2,15.9,3.8,6.5,10.8,28,0.0,0.0,0.0,0.0,5.45,11.1
2000-04-05,8.0,15.2,-2.1,3.8,11.8,24,0.0,0.0,0.0,0.0,3.76,8.6
2000-04-06,11.1,20.6,1.5,6.1,16.1,22,0.0,0.0,0.0,0.0,7.05,15.0
2000-04-07,11.3,18.5,-0.4,7.3,16.2,18,0.0,0.0,0.0,0.0,3.2,7.4
2000-04-08,11.4,17.6,5.3,7.7,13.6,46,1.1,1.1,0.0,6.0,5.62,14.5
2000-04-09,8.7,13.2,2.5,4.1,8.4,48,0.0,0.0,0.0,0.0,10.04,20.0
2000-04-10,7.8,15.9,-2.9,3.2,12.1,21,0.0,0.0,0.0,0.0,4.06,10.1
2000-04-11,11.7,21.1,2.3,7.5,16.3,27,0.0,0.0,0.0,0.0,4.12,9.9
2000-04-12,16.9,26.3,5.6,13.0,22.5,24,0.0,0.0,0.0,0.0,4.6,10.4
2000-04-13,11.2,15.5,5.1,6.3,9.4,44,4.4,3.6,0.56,8.0,8.02,16.5
2000-04-14,6.4,9.8,2.4,3.1,5.6,65,2.0,1.4,0.42,4.0,2.69,7.0
2000-04-15,9.0,16.7,-0.7,5.4,14.4,45,0.0,0.0,0.0,0.0,3.7,8.7
2000-04-16,13.0,20.9,3.0,9.7,18.1,31,0.0,0.0,0.0,0.0,2.91,7.8
2000-04-17,17.2,24.8,7.3,14.5,23.1,30,0.0,0.0,0.0,0.0,2.4,7.8
2000-04-18,18.7,25.2,11.7,17.1,23.7,47,0.0,0.0,0.0,0.0,3.63,9.3
2000-04-19,15.1,23.5,8.2,12.8,20.8,63,0.1,0.1,0.0,1.0,6.95,14.6
2000-04-20,15.4,21.8,10.3,11.2,16.8,33,0.0,0.0,0.0,0.0,7.13,16.0
2000-04-21,16.2,22.8,6.2,11.3,18.2,23,0.0,0.0,0.0,0.0,7.98,17.6
2000-04-22,13.1,18.4,4.6,8.5,13.5,23,0.0,0.0,0.0,0.0,5.59,12.6
2000-04-23,13.8,22.2,2.4,10.7,20.0,31,0.0,0.0,0.0,0.0,3.22,8.6
2000-04-24,16.8,23.0,8.8,13.5,19.4,36,0.2,0.2,0.0,2.0,5.7,13.9
2000-04-25,14.9,18.4,7.5,9.6,12.5,20,0.0,0.0,0.0,0.0,8.42,18.5
2000-04-26,13.8,20.7,4.1,9.7,17.0,29,0.0,0.0,0.0,0.0,5.37,11.7
2000-04-27,15.3,22.8,4.6,12.0,20.3,31,0.0,0.0,0.0,0.0,3.44,9.1
2000-04-28,19.3,26.5,11.9,16.2,24.2,30,0.0,0.0,0.0,0.0,4.3,10.0
2000-04-29,16.3,22.3,10.1,12.1,16.9,33,1.2,1.2,0.0,4.0,7.92,15.5
2000-04-30,17.9,27.9,5.9,14.3,25.6,23,0.0,0.0,0.0,0.0,3.35,8.5
2000-05-01,20.1,28.8,8.1,17.4,28.3,24,0.0,0.0,0.0,0.0,2.16,5.3
2000-05-02,21.0,29.0,11.0,17.6,25.8,27,0.0,0.0,0.0,0.0,4.55,10.1
2000-05-03,21.5,28.6,10.4,18.3,26.7,22,0.0,0.0,0.0,0.0,3.98,8.9
2000-05-04,22.3,32.0,12.6,19.0,29.1,27,0.0,0.0,0.0,0.0,6.71,14.6
2000-05-05,18.5,21.2,12.9,15.1,17.2,37,0.0,0.0,0.0,0.0,6.23,13.9
2000-05-06,18.2,25.0,8.8,15.6,23.8,35,0.0,0.0,0.0,0.0,3.01,7.9
2000-05-07,20.2,27.7,11.6,17.4,25.3,27,0.0,0.0,0.0,0.0,3.32,8.5
2000-05-08,19.2,24.3,14.1,16.5,21.3,41,0.9,0.9,0.0,3.0,5.69,12.0
2000-05-09,16.1,21.1,11.0,13.7,16.8,57,0.2,0.2,0.0,1.0,6.76,15.6
2000-05-10,17.0,23.6,6.6,13.8,21.1,29,0.0,0.0,0.0,0.0,3.41,8.5
2000-05-11,16.3,22.4,11.6,13.5,20.7,39,2.6,2.6,0.0,5.0,5.45,13.4
2000-05-12,17.3,23.5,9.2,14.3,20.4,42,0.0,0.0,0.0,0.0,6.04,12.4
2000-05-13,19.5,26.2,8.9,18.0,25.0,51,0.5,0.5,0.0,1.0,3.91,8.5
2000-05-14,21.5,28.6,14.7,20.0,26.2,49,2.2,2.2,0.0,4.0,6.89,14.6
2000-05-15,19.7,25.9,11.3,18.1,24.1,46,0.0,0.0,0.0,0.0,3.18,7.9
2000-05-16,19.7,27.3,11.7,19.0,27.1,57,0.0,0.0,0.0,0.0,2.55,7.8
2000-05-17,20.5,26.3,14.3,17.3,22.5,36,0.2,0.2,0.0,1.0,7.3,15.6
2000-05-18,18.9,24.1,10.1,14.3,18.4,24,0.0,0.0,0.0,0.0,7.75,17.3
2000-05-19,20.8,27.8,9.5,17.5,24.6,25,0.0,0.0,0.0,0.0,5.06,11.1
2000-05-20,25.1,34.2,15.4,21.8,30.7,21,0.0,0.0,0.0,0.0,5.43,11.8
2000-05-21,26.7,36.0,17.5,23.8,34.2,24,0.4,0.4,0.0,1.0,4.83,10.9
2000-05-22,24.4,31.8,16.8,23.3,31.3,46,0.0,0.0,0.0,0.0,6.32,12.1
2000-05-23,26.2,33.3,17.8,25.6,34.0,39,0.0,0.0,0.0,0.0,5.58,10.7
2000-05-24,26.2,32.9,17.4,25.8,32.8,42,0.5,0.5,0.0,2.0,4.24,9.9
2000-05-25,24.9,29.2,18.1,24.7,30.3,49,0.0,0.0,0.0,0.0,4.75,10.8
2000-05-26,19.2,21.8,13.4,19.3,22.2,73,20.7,20.7,0.0,13.0,4.7,11.0
2000-05-27,18.9,25.1,11.4,16.7,22.9,49,0.0,0.0,0.0,0.0,5.66,12.1
2000-05-28,21.8,27.5,14.8,21.0,28.4,42,0.0,0.0,0.0,0.0,3.33,6.7
2000-05-29,21.4,26.2,12.8,20.0,25.4,45,0.0,0.0,0.0,0.0,3.71,9.1
2000-05-30,23.9,32.0,14.7,22.7,31.2,41,0.0,0.0,0.0,0.0,4.74,11.8
2000-05-31,25.1,32.5,14.8,24.0,33.3,34,0.0,0.0,0.0,0.0,2.61,5.9
2000-06-01,23.0,26.6,19.2,23.0,26.8,63,1.4,1.4,0.0,7.0,5.1,11.3
2000-06-02,20.4,22.7,17.0,19.7,21.5,69,2.8,2.8,0.0,14.0,6.29,13.3
2000-06-03,18.3,22.5,16.3,17.6,20.7,66,1.9,1.9,0.0,9.0,4.2,9.8
2000-06-04,19.2,22.5,14.6,19.5,23.3,68,2.7,2.7,0.0,10.0,1.86,7.0
2000-06-05,23.0,29.7,14.4,23.0,30.8,51,0.0,0.0,0.0,0.0,2.73,6.2
2000-06-06,24.6,31.6,15.2,24.4,32.1,46,0.0,0.0,0.0,0.0,3.41,8.5
2000-06-07,22.2,25.6,17.0,23.1,26.4,65,2.8,2.8,0.0,8.0,2.41,7.7
2000-06-08,25.0,32.5,13.5,24.0,32.4,39,0.0,0.0,0.0,0.0,3.35,8.7
2000-06-09,22.3,28.4,14.8,21.6,29.2,51,0.0,0.0,0.0,0.0,3.58,9.0
2000-06-10,22.4,29.0,14.2,22.6,30.8,52,1.9,1.9,0.0,3.0,2.9,8.3
2000-06-11,24.1,31.8,15.8,23.8,32.0,52,0.1,0.1,0.0,1.0,4.6,9.8
2000-06-12,23.4,29.5,15.4,22.1,29.2,40,0.0,0.0,0.0,0.0,3.1,7.9
2000-06-13,25.0,33.0,15.4,24.4,34.1,35,0.0,0.0,0.0,0.0,1.9,5.6
2000-06-14,26.9,34.1,19.5,25.7,34.5,32,0.0,0.0,0.0,0.0,3.31,7.4
2000-06-15,25.4,32.9,18.9,24.4,32.5,38,0.0,0.0,0.0,0.0,4.0,10.3
2000-06-16,22.2,28.5,17.3,22.4,29.4,59,3.6,3.6,0.0,5.0,5.6,12.7
2000-06-17,22.5,27.6,16.9,22.7,27.9,63,0.5,0.5,0.0,2.0,5.02,11.1
2000-06-18,23.8,28.7,17.4,24.4,29.8,57,0.0,0.0,0.0,0.0,2.84,7.4
2000-06-19,23.1,27.2,19.9,23.0,25.9,54,0.0,0.0,0.0,0.0,4.35,8.8
2000-06-20,22.1,27.2,18.0,22.8,27.2,64,3.8,3.8,0.0,6.0,4.49,8.9
2000-06-21,23.2,29.4,16.3,24.2,31.2,63,0.6,0.6,0.0,2.0,4.44,9.1
2000-06-22,23.6,29.5,17.8,25.1,31.6,66,1.5,1.5,0.0,1.0,3.62,9.6
2000-06-23,25.3,31.7,17.1,26.9,34.6,58,0.0,0.0,0.0,0.0,2.15,6.0
2000-06-24,24.7,30.7,20.4,26.5,33.4,67,8.0,8.0,0.0,9.0,4.97,11.0
2000-06-25,20.6,22.5,18.2,22.2,24.3,87,6.3,6.3,0.0,19.0,4.88,10.6
2000-06-26,22.3,27.0,18.3,24.5,29.6,77,1.0,1.0,0.0,5.0,1.91,5.0
2000-06-27,26.5,32.2,18.3,28.8,35.1,61,0.0,0.0,0.0,0.0,1.87,5.6
2000-06-28,21.8,24.3,18.2,24.7,27.7,85,28.1,28.1,0.0,15.0,1.92,5.5
2000-06-29,24.3,31.3,17.4,25.4,33.0,63,0.1,0.1,0.0,1.0,4.42,10.5
2000-06-30,24.3,30.8,15.0,24.8,33.4,49,0.0,0.0,0.0,0.0,2.82,5.2
2000-07-01,27.0,34.0,18.9,27.5,35.4,42,0.0,0.0,0.0,0.0,2.61,6.5
2000-07-02,26.7,33.0,18.0,27.4,33.4,52,0.0,0.0,0.0,0.0,5.06,10.5
2000-07-03,23.5,27.4,19.2,25.7,27.8,75,14.4,14.4,0.0,11.0,4.3,9.3
2000-07-04,22.5,26.0,19.9,25.4,29.8,85,10.6,10.6,0.0,16.0,3.0,7.0
2000-07-05,22.0,24.7,20.1,23.9,26.9,87,34.5,34.5,0.0,24.0,4.75,10.6
2000-07-06,21.7,23.1,19.9,24.1,25.8,90,10.5,10.5,0.0,24.0,3.4,7.7
2000-07-07,23.4,26.7,19.6,26.6,29.9,83,3.1,3.1,0.0,9.0,2.47,6.3
2000-07-08,23.3,26.9,19.7,26.5,29.9,83,8.8,8.8,0.0,9.0,2.91,8.4
2000-07-09,24.3,29.9,18.8,27.6,34.8,75,0.3,0.3,0.0,1.0,2.66,7.0
2000-07-10,24.4,30.7,17.2,27.1,34.4,71,1.1,1.1,0.0,2.0,3.1,8.2
2000-07-11,24.9,30.8,17.7,28.4,36.3,75,2.7,2.7,0.0,4.0,2.81,7.5
2000-07-12,26.4,32.4,20.0,30.0,37.4,69,0.0,0.0,0.0,0.0,2.97,7.5
2000-07-13,26.6,32.6,18.7,29.0,35.4,65,0.0,0.0,0.0,0.0,4.42,9.6
2000-07-14,25.4,30.8,20.0,28.7,34.2,76,6.4,6.4,0.0,7.0,3.71,8.8
2000-07-15,24.0,27.3,20.6,26.9,30.2,82,6.2,6.2,0.0,16.0,3.5,9.4
2000-07-16,25.2,28.7,21.9,29.1,32.5,82,3.6,3.6,0.0,9.0,2.71,7.5
2000-07-17,26.3,30.5,21.6,30.6,36.0,79,3.3,3.3,0.0,9.0,3.64,8.0
2000-07-18,26.8,31.6,21.9,31.3,38.0,79,6.5,6.5,0.0,16.0,3.54,8.1
2000-07-19,26.8,31.4,21.0,30.6,35.6,75,0.0,0.0,0.0,0.0,3.03,7.1
2000-07-20,27.9,32.5,20.4,33.0,39.8,75,0.0,0.0,0.0,0.0,1.58,5.7
2000-07-21,28.5,33.9,21.6,33.7,41.0,74,3.8,3.8,0.0,5.0,2.12,5.9
2000-07-22,25.7,27.8,21.7,29.6,33.5,79,9.4,9.4,0.0,10.0,3.81,6.6
2000-07-23,25.8,31.9,17.6,27.6,34.4,59,0.0,0.0,0.0,0.0,2.06,5.1
2000-07-24,26.0,32.6,18.1,27.5,35.3,56,0.0,0.0,0.0,0.0,3.31,6.9
2000-07-25,26.6,30.8,22.4,29.6,33.1,68,0.0,0.0,0.0,0.0,3.13,7.7
2000-07-26,28.5,33.6,22.8,33.1,38.7,71,0.3,0.3,0.0,1.0,2.93,7.9
2000-07-27,27.3,30.0,24.2,32.8,36.0,84,15.7,15.7,0.0,12.0,2.06,6.7
2000-07-28,26.1,29.9,23.4,28.9,33.0,67,0.0,0.0,0.0,0.0,3.2,7.7
2000-07-29,24.6,28.9,19.6,23.9,27.3,51,0.2,0.2,0.0,1.0,6.08,13.1
2000-07-30,23.9,30.0,15.3,23.8,30.2,50,0.0,0.0,0.0,0.0,3.64,9.4
2000-07-31,24.3,31.2,15.9,25.0,33.4,52,0.0,0.0,0.0,0.0,1.94,5.1
2000-08-01,24.7,31.2,16.7,25.1,32.5,52,0.1,0.1,0.0,1.0,3.24,6.8
2000-08-02,24.2,28.6,19.2,25.7,30.3,64,1.6,1.6,0.0,2.0,4.12,9.4
2000-08-03,23.5,28.9,20.2,25.4,32.0,72,1.0,1.0,0.0,2.0,3.91,9.5
2000-08-04,22.3,25.7,18.8,24.1,26.5,77,1.2,1.2,0.0,7.0,3.61,8.8
2000-08-05,21.5,24.9,19.6,23.6,25.9,81,3.4,3.4,0.0,12.0,2.56,6.1
2000-08-06,21.4,22.6,19.8,24.2,25.6,86,8.1,8.1,0.0,13.0,1.49,4.8
2000-08-07,21.9,23.9,20.0,25.2,27.2,89,4.0,4.0,0.0,11.0,1.97,4.5
2000-08-08,22.8,25.6,20.8,26.2,28.7,90,17.2,17.2,0.0,16.0,2.56,9.6
2000-08-09,24.5,29.6,18.7,28.3,34.7,80,0.1,0.1,0.0,1.0,2.72,6.6
2000-08-10,25.2,30.6,19.1,28.7,35.7,74,0.1,0.1,0.0,1.0,3.42,8.6
2000-08-11,25.3,31.8,19.6,28.9,35.7,76,0.1,0.1,0.0,1.0,3.12,7.6
2000-08-12,22.4,24.3,20.3,25.7,27.7,89,9.5,9.5,0.0,13.0,2.79,6.8
2000-08-13,24.5,30.1,19.6,27.9,35.3,76,0.0,0.0,0.0,0.0,1.63,4.9
2000-08-14,25.2,30.6,20.0,29.4,35.8,78,3.3,3.3,0.0,4.0,1.58,6.6
2000-08-15,26.0,32.1,19.9,28.0,34.2,60,0.0,0.0,0.0,0.0,1.96,5.6
2000-08-16,24.7,32.0,16.3,26.3,34.0,58,0.0,0.0,0.0,0.0,2.1,5.1
2000-08-17,24.3,29.2,19.0,25.7,29.6,65,0.0,0.0,0.0,0.0,2.86,6.5
2000-08-18,23.8,28.7,20.0,25.8,30.5,72,0.7,0.7,0.0,4.0,3.32,5.8
2000-08-19,22.7,27.3,18.2,25.0,30.7,76,0.3,0.3,0.0,2.0,2.44,7.6
2000-08-20,22.8,28.6,15.7,24.2,31.3,66,0.0,0.0,0.0,0.0,2.47,5.5
2000-08-21,23.3,28.3,18.4,24.8,29.3,70,0.0,0.0,0.0,0.0,2.92,7.6
2000-08-22,21.2,24.2,17.7,23.0,25.2,83,5.8,5.8,0.0,13.0,3.22,8.9
2000-08-23,23.1,29.4,16.8,24.9,33.1,67,0.0,0.0,0.0,0.0,2.28,4.4
2000-08-24,23.8,31.3,16.3,24.8,33.2,61,0.0,0.0,0.0,0.0,2.92,6.8
2000-08-25,23.9,30.6,16.1,25.1,33.1,60,0.0,0.0,0.0,0.0,1.66,4.6
2000-08-26,23.9,30.0,18.3,25.6,33.6,61,1.6,1.6,0.0,3.0,2.38,5.2
2000-08-27,22.2,30.3,17.1,24.1,33.0,74,2.8,2.8,0.0,3.0,3.83,10.1
2000-08-28,20.7,26.3,16.8,22.1,28.3,78,1.3,1.3,0.0,3.0,3.74,9.3
2000-08-29,20.5,27.2,16.6,22.3,29.5,80,6.4,6.4,0.0,5.0,3.11,9.0
2000-08-30,21.4,26.8,17.0,23.0,29.2,78,6.6,6.6,0.0,5.0,3.41,7.3
2000-08-31,22.5,28.6,17.0,24.2,31.9,71,0.0,0.0,0.0,0.0,2.06,5.6
2000-09-01,23.5,30.7,16.3,24.9,33.0,65,0.0,0.0,0.0,0.0,2.64,6.7
2000-09-02,24.2,30.6,18.2,25.4,31.4,66,0.0,0.0,0.0,0.0,3.72,8.7
2000-09-03,24.2,30.7,17.7,26.3,33.1,69,0.1,0.1,0.0,1.0,4.27,9.0
2000-09-04,21.7,23.9,15.8,23.7,26.9,79,5.7,5.7,0.0,12.0,4.1,9.4
2000-09-05,18.4,22.5,13.0,17.2,21.5,66,2.6,2.6,0.0,6.0,4.84,10.0
2000-09-06,16.8,22.5,11.4,15.1,21.6,53,0.0,0.0,0.0,0.0,2.2,6.3
2000-09-07,16.7,23.2,9.9,15.3,23.7,50,0.0,0.0,0.0,0.0,1.94,4.8
2000-09-08,17.3,25.1,9.4,16.0,25.6,51,0.0,0.0,0.0,0.0,1.72,5.2
2000-09-09,17.2,23.8,10.4,16.1,23.6,56,0.0,0.0,0.0,0.0,1.84,5.6
2000-09-10,17.8,25.4,10.6,15.9,23.6,52,0.0,0.0,0.0,0.0,3.45,8.6
2000-09-11,17.2,24.4,10.3,15.9,23.8,52,0.0,0.0,0.0,0.0,1.75,5.4
2000-09-12,18.7,26.0,12.2,17.9,26.9,55,0.0,0.0,0.0,0.0,2.75,6.1
2000-09-13,18.9,26.0,12.3,19.0,27.5,67,0.3,0.3,0.0,2.0,2.05,4.6
